,title,desciption,url,date
49,"Furman <b>University</b> announces <b>school</b>-wide, mandatory <b>COVID-19</b> testing for Friday","AND BREAKING NEWS OUT OF FURMAN <b>UNIVERSITY</b>, ALL STUDENTS WILL BE TESTED FOR <b>COVID-19</b> ... campus.The <b>school</b> said it was modifying testing protocols in part because of concerns over the recent ...",https://www.wyff4.com/article/furman-university-announces-school-wide-mandatory-student-covid-19-testing-for-friday/33918004,2020-09-03T21:13:00.0000000Z
50,"New <b>COVID-19</b> Projections Show Improvements in California &amp; Florida, <b>School</b> &amp; <b>University</b> Reopenings Further Threatening Midwest","Updated COVID-19 projections released today by PolicyLab at Children&#39;s Hospital of Philadelphia (CHOP) show improving four-week forecasts for most counties throughout Florida and California, states that led the summertime surge in case counts across the U.",https://finance.yahoo.com/news/covid-19-projections-show-improvements-215600538.html,2020-09-10T16:35:00.0000000Z
51,"Colleges ask students to leave campus amid <b>COVID-19</b> <b>outbreaks</b>, but experts advise the opposite",(NEW YORK) -- As colleges deal with <b>COVID-19</b> <b>outbreaks</b> ... sending students home after an <b>outbreak</b> is the &quot;worst thing you could do.&quot; &quot;Keep them at the <b>university</b> in a place that&#39;s sequestered ...,https://www.wbal.com/article/477043/109/colleges-ask-students-to-leave-campus-amid-covid-19-outbreaks-but-experts-advise-the-opposite,2020-09-03T10:34:00.0000000Z
52,"Indiana <b>University</b> warns of ‘alarming’ rates of <b>COVID-19</b> at its frats, sororities","1:51 More U.S. college campuses close after <b>COVID-19</b> <b>outbreaks</b> Indiana <b>University</b> ... given the pandemic conditions,” the <b>school</b> tweeted. Indiana <b>University</b>, a campus of some 40,000 students ...",https://globalnews.ca/news/7315758/coronavirus-indiana-university-frats/,2020-09-04T03:54:00.0000000Z
53,"Indiana <b>University</b> sees &#39;alarming&#39; spike in <b>COVID-19</b> at frat, sorority houses",citing an “alarming” rate of positive <b>COVID-19</b> tests that marked the latest <b>outbreak</b> in the U.S. Midwest and at a college campus. The <b>university</b> said on Twitter that positive tests for ...,https://www.reuters.com/article/us-health-coronavirus-usa-idUSKBN25U2SI,2020-09-04T02:08:00.0000000Z
54,More colleges are reversing course and going remote after <b>COVID-19</b> <b>outbreaks</b> — and some are now reducing tuition,Notre Dame <b>University</b> switched to remote learning for two weeks after large <b>outbreaks</b> were reported ... can prevent widespread transmission of <b>COVID-19</b> between students if our undergraduates ...,https://www.marketwatch.com/story/more-colleges-are-reversing-course-and-going-remote-after-covid-19-outbreaks-and-some-are-now-reducing-tuition-11599076746,2020-09-02T21:53:00.0000000Z
55,Predicting A <b>Covid-19</b> <b>Outbreak</b> With Wastewater Analysis,"Early in the <b>Covid-19</b> pandemic ... at the <b>University</b> of Arizona scientists and staff set up a system to test wastewater across campus. At the end of August, using wastewater testing, <b>school</b> ...",https://www.forbes.com/sites/joshuacohen/2020/09/01/predicting-a-covid-19-outbreak-with-wastewater-analysis/,2020-09-01T13:43:00.0000000Z
56,3 more Colorado schools report <b>COVID-19</b> <b>outbreaks</b>; cluster linked to Cameron Peak fire response,Three more K-12 schools in Colorado have reported <b>outbreaks</b> ... positive for <b>COVID-19</b>. The state hasn’t released information about what kind of work the four did. The new <b>school</b> clusters brought ...,https://www.dailycamera.com/2020/09/02/colorado-covid-outbreaks-schools-cameron-peak-fire/,2020-09-03T15:34:00.0000000Z
57,"New <b>COVID-19</b> Projections Show Improvements in California &amp; Florida, <b>School</b> &amp; <b>University</b> Reopenings Further Threatening Midwest","Researchers at PolicyLab at CHOP and the <b>University</b> ... <b>COVID-19</b> transmission and test positivity rates across all U.S. counties, and projects case counts for 817 counties with active <b>outbreaks</b> ...",https://www.prnewswire.com/news-releases/new-covid-19-projections-show-improvements-in-california--florida-school--university-reopenings-further-threatening-midwest-301123420.html,2020-09-02T21:58:00.0000000Z
58,"USC opens second <b>COVID-19</b> quarantine dorm, starts mobile testing for <b>outbreaks</b>",COLUMBIA — The <b>University</b> of South Carolina ... have required hospitalization. The <b>school</b>&#39;s <b>outbreak</b> has begun showing up in the state&#39;s daily <b>COVID-19</b> reports. Richland County posted nearly ...,https://www.postandcourier.com/news/usc-opens-second-covid-19-quarantine-dorm-starts-mobile-testing-for-outbreaks/article_30d2d9b8-ebb0-11ea-affc-6b162a8aa76b.html,2020-08-31T17:30:00.0000000Z
