title,description,link,location,state
Bradley <b>University</b> quarantines entire student body after <b>COVID-19</b> <b>outbreak</b>,"In announcing the measure, the <b>university</b> said it has tallied about 50 <b>COVID-19</b> cases so far, adding emergency measures are needed to respond to the <b>outbreak</b> without disrupting academic progress.",https://www.9news.com/article/news/health/coronavirus/bradley-university-quarantines-entire-student-body-after-covid-19-outbreak/507-3b9e44dc-b978-4888-9aba-1cfa15ab6b97,Bradley University,IL
Report: Memphis-Houston Game in Jeopardy After <b>COVID-19</b> <b>Outbreak</b>,"The <b>University</b> of Memphis&#39; game against the <b>University</b> of Houston is in jeopardy of being postponed or canceled after a <b>COVID-19</b> <b>outbreak</b> within the Tigers&#39; program, according to the Commercial ...",https://www.si.com/college/2020/09/11/memphis-houston-jeopardy-covid-outbreak,University of Memphis,TN
Report: Memphis-Houston Game in Jeopardy After <b>COVID-19</b> <b>Outbreak</b>,"The <b>University</b> of Memphis&#39; game against the <b>University</b> of Houston is in jeopardy of being postponed or canceled after a <b>COVID-19</b> <b>outbreak</b> within the Tigers&#39; program, according to the Commercial ...",https://www.si.com/college/2020/09/11/memphis-houston-jeopardy-covid-outbreak,University of Houston,TX
‘I knew it would happen’: 124 <b>COVID-19</b> cases confirmed at Michigan State <b>University</b>,There have been 124 coronavirus (<b>COVID-19</b>) cases confirmed at Michigan State <b>University</b> in East Lansing ... any big party or event that sparked the <b>outbreak</b>.,https://www.clickondetroit.com/news/local/2020/09/08/i-knew-it-would-happen-124-covid-19-cases-confirmed-at-michigan-state-university/,Michigan State University,MI
<b>University</b> of Michigan warns about <b>COVID-19</b> exposure on campus,"ANN ARBOR, Mich. (WXYZ) — A <b>University</b> of Michigan student has tested positive for the coronavirus and the <b>university</b> is warning that others may have been exposed ...",https://www.wxyz.com/news/coronavirus/university-of-michigan-warns-about-covid-19-exposure-on-campus,University of Michigan,MI
BC’s <b>COVID-19</b> <b>outbreak</b> not a good sign for proponents of ‘let them play’,"But as we continue amid this ongoing <b>COVID-19</b> pandemic, the converse question ... resident ACC representative Boston College, where an <b>outbreak</b> of positive tests has raised concerns about the ...",https://www.bostonglobe.com/2020/09/12/sports/bcs-covid-19-outbreak-not-good-sign-proponents-let-them-play/,Boston College,MA
Cuomo: <b>COVID-19</b> a Problem on New York Campuses,"The governor said at a briefing that six other colleges in New York had seen <b>outbreaks</b>: Cornell <b>University</b>, <b>University</b> at Buffalo, Hofstra <b>University</b>, SUNY Oswego, Colgate <b>University</b> and SUNY ...",https://www.usnews.com/news/best-states/new-york/articles/2020-09-08/cuomo-covid-19-a-problem-on-new-york-campuses,Cornell University,NY
Cuomo: <b>COVID-19</b> a Problem on New York Campuses,"The governor said at a briefing that six other colleges in New York had seen <b>outbreaks</b>: Cornell <b>University</b>, <b>University</b> at Buffalo, Hofstra <b>University</b>, SUNY Oswego, Colgate <b>University</b> and SUNY ...",https://www.usnews.com/news/best-states/new-york/articles/2020-09-08/cuomo-covid-19-a-problem-on-new-york-campuses,University at Buffalo,NY
Cuomo: <b>COVID-19</b> a Problem on New York Campuses,"The governor said at a briefing that six other colleges in New York had seen <b>outbreaks</b>: Cornell <b>University</b>, <b>University</b> at Buffalo, Hofstra <b>University</b>, SUNY Oswego, Colgate <b>University</b> and SUNY ...",https://www.usnews.com/news/best-states/new-york/articles/2020-09-08/cuomo-covid-19-a-problem-on-new-york-campuses,Hofstra University,NY
Cuomo: <b>COVID-19</b> a Problem on New York Campuses,"The governor said at a briefing that six other colleges in New York had seen <b>outbreaks</b>: Cornell <b>University</b>, <b>University</b> at Buffalo, Hofstra <b>University</b>, SUNY Oswego, Colgate <b>University</b> and SUNY ...",https://www.usnews.com/news/best-states/new-york/articles/2020-09-08/cuomo-covid-19-a-problem-on-new-york-campuses,State University of New York at Oswego,NY
