,title,desciption,url,provider,date
58,<b>COVID-19</b> infections leap again at <b>University</b> of Georgia,"ATLANTA -- Coronavirus infections continue to spread at the <b>University</b> of Georgia, with the school reporting more than 1,400 new cases of <b>COVID-19</b> in the ... UGA&#39;s <b>outbreak</b> is now the fastest ...",https://abcnews.go.com/Health/wireStory/covid-19-infections-leap-university-georgia-72908584,ABCNews,2020-09-10T22:59:00.0000000Z
59,19 Of The 25 Worst U.S. Coronavirus <b>Outbreaks</b> Are In College Towns,"if their colleges close because of <b>outbreaks</b>, will bring <b>Covid-19</b> home. The city of Oxford, where the <b>University</b> of Mississippi is located, is a popular spot for retirees as well as college students.",https://www.forbes.com/sites/jemimamcevoy/2020/09/11/19-of-the-25-worst-us-coronavirus-outbreaks-are-in-college-towns/,Forbes,2020-09-11T17:53:00.0000000Z
60,UC Campuses Pilot Google-Apple Notification Technology to Help Prevent <b>COVID-19</b> <b>Outbreaks</b>,"Today, the state of California approved a new voluntary pilot program that uses Apple and Google smartphone technology to help rapidly control <b>COVID-19</b> <b>outbreaks</b> ... Return to Learn program will invite the <b>university</b> community to use on a voluntary ...",https://health.ucsd.edu/news/releases/Pages/2020-09-11-uc-campuses-pilot-google-apple-notification-technology-to-help-prevent-covid-19-outbreaks-.aspx,Scripps News,2020-09-12T07:25:00.0000000Z
61,<b>COVID-19</b> infections leap again at <b>University</b> of Georgia,"ATLANTA — Coronavirus infections continue to spread at the <b>University</b> of Georgia, with the school reporting more than 1,400 new cases of <b>COVID-19</b> in the ... UGA&#39;s <b>outbreak</b> is now the fastest ...",https://www.startribune.com/covid-19-infections-leap-again-at-university-of-georgia/572361152/,StarTribune,2020-09-09T18:20:00.0000000Z
62,"New coronavirus <b>outbreaks</b> reported at schools, a sorority, restaurants and more",Larger <b>outbreaks</b> have been associated at Colorado colleges and universities. Eight residents at the Pi Beta Phi sorority at <b>University</b> of Colorado Boulder have tested positive for <b>COVID-19</b> ...,https://www.9news.com/article/news/health/coronavirus/colorado-coronavirus-outbreaks-9-9-20-schools-churches/73-75d40c83-d9f2-4cf9-ab38-9ba5d8ef0c1b,KUSA,2020-09-09T23:05:00.0000000Z
63,Wastewater testing program prevents massive <b>COVID-19</b> <b>outbreak</b> at the <b>University</b> of Arizona,"“Between 9 and 10 a.m. is when you’ll have the heavier outflow, so it’s still a little early,” said Jeff Bilznick, who collects samples of wastewater at the <b>University</b> of Arizona. 8 ...",https://www.thedenverchannel.com/news/national/coronavirus/wastewater-testing-program-prevents-massive-covid-19-outbreak-at-the-university-of-arizona,7News and TheDenverChannel.com,2020-09-11T23:49:00.0000000Z
64,<b>COVID-19</b> Testing Should be Mandatory for <b>University</b> of Chicago Students,Health experts cite universal testing as a critical defense against community spread and uncontrolled <b>COVID-19</b> <b>outbreaks</b>. All members of the <b>University</b> community who visit campus and socialize with those who visit campus should be tested as a basic safety ...,https://www.chicagomaroon.com/article/2020/9/13/covid-19-testing-mandatory-university-chicago-stud/,The Chicago Maroon,2020-09-13T21:38:00.0000000Z
65,"Boston College <b>COVID-19</b> <b>outbreak</b> worries epidemiologists, students, community","Since then, the <b>university</b> has been spot testing ... but it did not specifically mention the swim team <b>outbreak</b>. An “increase in positive <b>COVID-19</b> cases this week,” the school said, was ...",https://www.bostonglobe.com/2020/09/11/metro/bc-outbreak-worries-epidemiologists-students-community/,The Boston Globe,2020-09-12T01:20:00.0000000Z
66,More cats may have <b>COVID-19</b> than believed: Study,"Researchers from Huazhong Agricultural <b>University</b> took blood samples from 102 cats between January and March 2020, following the first <b>outbreak</b>. More cats might be contracting <b>COVID-19</b> than first ...",https://www.financialexpress.com/lifestyle/health/more-cats-may-have-covid-19-than-believed-study/2079648/,The Financial Express,2020-09-10T12:52:00.0000000Z
67,Bradley <b>University</b> quarantines student body after <b>COVID-19</b> <b>outbreak</b>,"In announcing the measure, the <b>university</b> said it has tallied about 50 <b>COVID-19</b> cases so far, adding emergency measures are needed to respond to the <b>outbreak</b> without disrupting academic progress.",https://www.ksdk.com/article/news/health/coronavirus/bradley-university-quarantines-student-body-covid-19-outbreak/63-ebdecf35-2d52-41fe-b0f6-5a2f1c6ad09d,KSDK,2020-09-09T14:01:00.0000000Z
